# Friedman isoconversional lines: points (1000/T, ln dalpha/dt) and linear fit per alpha.
alpha,beta_K/min,T_K,inv1000T_1/K,ln_dadt,fit_slope,fit_intercept,Ea_kJ/mol
0.1,1,613.83,1.62912,-8.1815,-38.7572,54.9785,322.228
0.1,3,624.505,1.60127,-7.02702,-38.7572,54.9785,322.228
0.1,5,630.692,1.58556,-6.50875,-38.7572,54.9785,322.228
0.2,1,618.006,1.61811,-7.51823,-39.8891,57.0483,331.638
0.2,3,628.455,1.5912,-6.36384,-39.8891,57.0483,331.638
0.2,5,634.612,1.57576,-5.84539,-39.8891,57.0483,331.638
0.3,1,620.547,1.61148,-7.15913,-40.596,58.2835,337.515
0.3,3,630.858,1.58514,-6.00477,-40.596,58.2835,337.515
0.3,5,636.997,1.56987,-5.48627,-40.596,58.2835,337.515
0.4,1,622.448,1.60656,-6.93175,-41.1345,59.177,341.992
0.4,3,632.656,1.58064,-5.7774,-41.1345,59.177,341.992
0.4,5,638.781,1.56548,-5.25887,-41.1345,59.177,341.992
0.5,1,624.027,1.60249,-6.78551,-41.588,59.8835,345.763
0.5,3,634.15,1.57691,-5.63117,-41.588,59.8835,345.763
0.5,5,640.263,1.56186,-5.11262,-41.588,59.8835,345.763
0.6,1,625.436,1.59888,-6.70338,-41.9975,60.4709,349.167
0.6,3,635.482,1.57361,-5.54905,-41.9975,60.4709,349.167
0.6,5,641.585,1.55864,-5.03049,-41.9975,60.4709,349.167
0.7,1,626.775,1.59547,-6.68653,-42.3911,60.973,352.44
0.7,3,636.749,1.57048,-5.53221,-42.3911,60.973,352.44
0.7,5,642.842,1.55559,-5.01363,-42.3911,60.973,352.44
0.8,1,628.148,1.59198,-6.76007,-42.7991,61.4017,355.831
0.8,3,638.047,1.56728,-5.60575,-42.7991,61.4017,355.831
0.8,5,644.131,1.55248,-5.08717,-42.7991,61.4017,355.831
0.9,1,629.754,1.58792,-7.02857,-43.2822,61.7274,359.848
0.9,3,639.566,1.56356,-5.87426,-43.2822,61.7274,359.848
0.9,5,645.638,1.54886,-5.35567,-43.2822,61.7274,359.848
