# Kinetic compensation effect (model F1): points (Ea, lnA) by method.
Ea_Friedman_kJ/mol,lnA_Friedman,Ea_KAS_kJ/mol,lnA_KAS,Ea_OFW_kJ/mol,lnA_OFW,Ea_Starink_kJ/mol,lnA_Starink
351.891,45.2498,428.566,60.2241,420,59.2271,428.751,60.8386
339.295,43.5947,399.701,56.1376,392.627,55.2889,399.912,56.7527
322.457,41.2436,384.335,53.9847,378.065,53.2206,384.56,54.6002
317.38,40.6192,374.184,52.5792,368.451,51.8734,374.419,53.1949
311.657,39.8767,366.678,51.5504,361.346,50.8893,366.92,52.1663
306.005,39.1284,360.679,50.7353,355.67,50.1108,360.927,51.3514
305.218,39.0973,355.473,50.0299,350.745,49.4378,355.726,50.6462
305.344,39.197,351.242,49.4655,346.745,48.9004,351.5,50.082
308.188,39.6879,347.754,49.0086,343.45,48.4664,348.015,49.6252
310.481,40.084,344.929,48.6481,340.784,48.125,345.193,49.2649
318.847,41.3667,342.72,48.3771,338.704,47.8696,342.986,48.994
328.28,42.7811,341.377,48.2333,337.447,47.7365,341.646,48.8503
345.815,45.3724,341.159,48.2549,337.261,47.7626,341.429,48.8721
368.727,48.7324,342.683,48.5335,338.731,48.0358,342.952,49.1508
386.175,51.2812,346.153,49.0987,342.055,48.5849,346.421,49.7161
390.954,51.9929,350.81,49.8377,346.509,49.3017,351.075,50.4553
383.398,50.9414,355.09,50.5221,350.608,49.9667,355.353,51.1398
379.031,50.3945,358.432,51.0767,353.819,50.508,358.693,51.6946
424.46,57.0754,364.94,52.1234,360.051,51.526,365.198,52.7416
