alpha,T_mean_C,Fr_Ea,Fr_int,Fr_R2,KAS_Ea,KAS_int,KAS_R2,FWO_Ea,FWO_int,FWO_R2,St_Ea,St_int,St_R2,Vy_Ea,lnA,A
0.05,522.424082814367,351.891298557064,45.19846718686148,0.9397740201809449,428.56634592090126,52.343988618067506,0.9873620237086254,420.00041504283826,67.69636230681512,0.988083439825926,428.75094878671854,52.95808356561747,0.9873921345606452,360.34485156953764,46.04171092521017,9.900588089175707e+19
0.1,527.205545122087,339.2947195026158,43.489324366126304,0.9307406749223268,399.70140636762255,47.607454770800935,0.9771674295148582,392.62686110146313,62.97094966779888,0.9785628630678503,399.9120177989395,48.221994566680884,0.9772258328721618,339.8733649980328,44.02672136488041,1.319964177527833e+19
0.15,530.4069366971366,322.45724675976817,41.08110146949798,0.9418809633334841,384.3354034282137,45.06037676290561,0.9718827651989691,378.06519942224315,60.431414782927725,0.9736670609818738,384.56029812267997,45.675218283706556,0.971957566669628,329.9529499931939,41.458953615825614,1.0124994147085814e+18
0.2,532.8604536935924,317.37966339277034,40.39600700219002,0.9692224026358104,374.18425106848525,43.36453078399486,0.9714590759613297,368.4512039937134,58.74144967092684,0.9733211303213024,374.4188250201529,43.97960753947209,0.9715372432700808,320.7831270528225,40.67597336632404,4.6275463675960186e+17
0.25,534.8924421986844,311.65689436812966,39.589042439544386,0.9870679563434588,366.67840453987725,42.10199063699658,0.973563917318855,361.34634819378266,57.483846616525945,0.9753279263817988,366.92029568294475,42.71726487617777,0.9736380583566812,314.32986144864464,39.80652699328984,1.939791343494529e+17
0.3,536.6475782802936,306.00491894996964,38.77174729948775,0.9921776056650373,360.6787846931798,41.08839026606313,0.9767466535548889,355.66964107741256,56.474559091005226,0.9783280424790787,360.9266251447457,41.7038370190608,0.9768131920643778,309.23629712201983,38.950740279445895,8.243118998538582e+16
0.35,538.2251911840826,305.2182443766896,38.66652705156031,0.9958022623017639,355.47318071858183,40.208793339871924,0.9794866839516867,350.7451459264179,55.598842774775356,0.9809047941113788,355.72622229142166,40.824395317268056,0.9795464107410919,304.81360274045574,38.82523828245518,7.270876109632376e+16
0.4,539.6654989534118,305.34403979503134,38.686191278658214,0.9968639542557722,351.242409838995,39.48592930191592,0.9819583631656541,346.7454616225123,54.879536663157864,0.9832224115925278,351.4997886758768,40.101673596365586,0.9820116457616681,305.1995471057535,38.83973321791032,7.377034510449691e+16
0.45,541.0062401364078,308.18841856390503,39.090069186372055,0.9977596502314579,347.753610119464,38.88172719109369,0.9840126201242625,343.44969849338503,54.278650266291635,0.9851450960946061,348.014669693944,39.4976041141016,0.9840603904417867,306.4666245505027,39.25197757465463,1.1140822744453886e+17
0.5,542.284998853662,310.4805041911735,39.39086043523546,0.9979305194057987,344.9289210760698,38.38146081434163,0.9857669030921051,340.78442447841667,53.78155109999744,0.9867840691403468,345.19309206603015,38.99746442576785,0.9858098349289767,309.456805216673,39.574116895526295,1.53751936328774e+17
0.55,543.53253965329,318.84660850858495,40.56819151934306,0.997530620424844,342.71971620564767,37.97539019138945,0.9871856780169534,338.70384921897676,53.37856852595734,0.9881078283609767,342.9864867123925,38.591517324772134,0.9872246183941555,314.01767283021877,40.78605737151559,5.1660624880203104e+17
0.6,544.7815434443701,328.27955260153243,41.86480429860125,0.9987219542834921,341.3772873024995,37.697902260563374,0.9884454131171895,337.44748779888914,53.104182580876824,0.9892805753401169,341.6459697412813,38.31415347337589,0.9884806923287397,323.32771158398754,42.13165863581084,1.9840237150035144e+18
0.65,546.0657423927814,345.8145771923206,44.322534611882915,0.9992138793064672,341.15944590270755,37.58411436062681,0.9896929820134849,337.26108041889364,52.99360721064519,0.9904387897259577,341.42917290366,38.20049407462754,0.9897244919822549,336.74833530871746,44.65489918353195,2.473866760565419e+19
0.7,547.4225889478045,368.72685041892737,47.528455147950645,0.9996154700102238,342.6826024380979,37.72123121716119,0.9909276358246301,338.7313540743931,53.13415029852918,0.9915815636706136,342.9520422354034,38.33774798041587,0.9909552610536558,357.37423490184995,47.946467392285456,6.650988780452581e+20
0.75,548.8956805725509,386.17520574510763,49.89489591273711,0.9997702987460403,346.1529223851932,38.13534417926712,0.9921582225611333,342.05503372648695,53.55201205463114,0.992718158234625,346.4206083820203,38.75201089428163,0.9921818676095977,378.4616045274241,50.424725963307914,7.928302961665524e+21
0.8,550.5163390600901,390.9543057094378,50.383454703616884,0.9996027626600844,350.8099895334584,38.711737180624674,0.9933136404657467,346.50949491061385,54.132528162915705,0.9937850032840031,351.0750773601112,39.3285688199163,0.9933335338495167,390.1934836287098,51.06180293782749,1.4991988897775377e+22
0.85,552.3123426417056,383.3980675015036,49.04427590147924,0.999232450340667,355.09034171559927,39.219547294291665,0.9942730030717911,350.6084236003115,54.64485785468668,0.9946720025027171,355.3532430502474,39.836559716707455,0.9942898338721263,387.6314222650593,49.9280802364248,4.824915798496352e+21
0.9,554.3767256352471,379.03050694143104,48.0918743429028,0.9990330617415375,358.4317317681362,39.57109503654818,0.9950732806265911,353.81866931484757,55.00153519271429,0.9954133527350125,358.6933668593373,40.188312642794784,0.9950876205502067,380.3835454371798,49.28429603271292,2.534532190654983e+21
0.95,557.0950389913523,424.4598250454224,54.07963199453712,0.999962661351676,364.9396350911729,40.33667434629074,0.9962599079041181,360.050511537874,55.773915328634025,0.9965129954932962,365.19793645978,40.954163985584536,0.996270571483971,396.3598227375688,55.83362273734869,1.7710640169465732e+24
